,count,hate_speech,offensive_language,neither,class,tweet
58,,,,,neither,http://www.wntube.net/play.php ? vid = 1428 & code = 108
59,,,,,hate_speech,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !
60,,,,,neither,Welcome to the front lines ...
61,,,,,neither,"Folk , Faith , Family Hail Victory !!"
62,,,,,hate_speech,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth ."
63,,,,,neither,Protesters Clash during Military Parade in Barking
64,,,,,neither,Does this not show how stupid these folks can be ?
65,,,,,neither,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us ."
66,,,,,neither,Nice to know that are still a few men out there who `` have a pair '' .
67,,,,,neither,Your courage and honestly are apprecated .
68,,,,,neither,Jesus Christ is Lord indeed .
69,,,,,neither,Y' all have a nice day .
70,,,,,hate_speech,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand ."
71,,,,,hate_speech,May they all get mad cow disease .
72,,,,,neither,The sooner the better .
73,,,,,neither,"Yeah, but no one will ever hear of this ."
74,,,,,neither,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .
75,,,,,neither,That's all I needed to hear .
76,,,,,neither,* Unsubscribed * Off to the SA threads .
77,,,,,neither,There are White folks that require a little of our time .
78,,,,,neither,I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .
79,,,,,neither,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .
80,,,,,neither,http://www.visioncircle.org/archive/003870.html
81,,,,,neither,I'm having a hard time believing this .
82,,,,,neither,I have 2 friends in CS and neither has EVER worked with a black .
83,,,,,neither,"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project ."
84,,,,,neither,"Hundreds of people , but no blacks !"
85,,,,,neither,"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?"
86,,,,,neither,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees ."
87,,,,,neither,"Unfortunately , there are some poor White families where both parents work ."
88,,,,,neither,"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week ."
89,,,,,neither,The parents who could n't teach on weekdays could teach on Saturday .
90,,,,,neither,That was me .
91,,,,,neither,I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .
92,,,,,neither,Excellent Article !! * * * * * Why Were n't They In Jail ?
93,,,,,neither,"Three of the four suspects in the death of a 12-year-old Moore County girl were repeat offenders , free on probation ."
94,,,,,neither,Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .
95,,,,,neither,"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock ."
96,,,,,neither,He is the fourth suspect to be charged with her murder .
97,,,,,neither,"Also charged are Sherrod Nicholas Harrison , 19 , Michael Graham Currie , 18 , and Van Roger Smith , 16 , all of Cameron in Harnett County ."
98,,,,,neither,"Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators ."
99,,,,,neither,Only Mr. Smith had no prior criminal record .
100,,,,,neither,"Mr. Schiro , the latest suspect to be charged in the killing , was arrested when a .22-caliber handgun , possibly the murder weapon , was found in his car ."
101,,,,,neither,"He was also charged with burglary , larceny and possession of stolen property ."
102,,,,,neither,All four suspects are being held without bond in the Moore County Jail .
103,,,,,neither,The Rest Of The Story
104,,,,,hate_speech,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?"
105,,,,,neither,Surprised it came back so fast ...
106,,,,,neither,http://www.wral.com/news/local/story/1850536/
107,,,,,neither,"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]"
108,,,,,hate_speech,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy
109,,,,,neither,Good.
110,,,,,hate_speech,I hope they all starve .
111,,,,,hate_speech,No white person should send a single penny or lift a single finger to help them .
112,,,,,hate_speech,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) ."
113,,,,,hate_speech,"He walks upright , and has human arms and legs ."
114,,,,,hate_speech,I 've seen negroes who look ( and undoubtedly act ) like him .
115,,,,,neither,http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn
116,,,,,neither,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond ."
117,,,,,hate_speech,I will respond until Armenian scum will stop
118,,,,,neither,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's ."
119,,,,,neither,I see a nation where I can walk out my front door and not feel like a minority in my own country .
120,,,,,hate_speech,Where a white woman can go about in public and not fear assault by muds .
121,,,,,neither,"No, I see that as giving up ."
122,,,,,neither,"I hope one day to proudly say again that I am an American , when we take this country back ."
123,,,,,neither,BTL
124,,,,,neither,"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT ."
125,,,,,neither,It has obviously been misunderstood and i would been keen to learn more .
126,,,,,hate_speech,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .
127,,,,,neither,I apologize for my ignorance .
128,,,,,neither,Baby steps .
129,,,,,neither,"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations ."
130,,,,,hate_speech,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .
131,,,,,neither,These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .
132,,,,,neither,If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .
133,,,,,hate_speech,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .
134,,,,,neither,If a person is white and he is a Christian or a Pagan then i consider him as my brother or sister no matter whatever profession he is into .
135,,,,,neither,Can you give any examples of progress made by skinheads or the Klan ?
136,,,,,neither,Seems to me they are in precipitous decline .
137,,,,,neither,Ive been around here for four years and seen almost no class divide .
138,,,,,neither,"I dont really like even talking about it , because I fear we will create a division where there is none ."
139,,,,,hate_speech,Black ``women''on London transport ...
140,,,,,neither,"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTube"
141,,,,,neither,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different ."
142,,,,,neither,I think it has something to do with the type of sugar or where the sugar was originally grown .
143,,,,,neither,BTW - I do n't recall seeing a Mars Bar in S.A ?
144,,,,,neither,I never drink diet anything either because of the aspartame and water is for the fish .
145,,,,,neither,"I try to avoid the GMO stuff too , but since they do n't label the stuff it 's hard to do ."
146,,,,,neither,And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .
147,,,,,neither,You also need to avoid anything Soya .
148,,,,,neither,And then there is the pesticides on your fresh ( ? ) fruit and veggies .
149,,,,,neither,And the non-edible chemicals in the processed and sometimes not so processed food .
150,,,,,neither,In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .
151,,,,,neither,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !"
152,,,,,hate_speech,"If not kept in check , we may very will be living in an actual Planet of the Apes soon ."
153,,,,,neither,YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;
154,,,,,neither,Racist attack by blacks on a young white girl in France .
155,,,,,neither,Negro holding the camera laughs with glee : Dailymotion - Agression raciste contre une jeune fille blanche - France - une vidéo News & Politics
156,,,,,neither,What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .
157,,,,,neither,"2.0 ) * Does contain alot of profanity , so you have been forewarned *"
158,,,,,neither,Negro rainforest `` music ''.
159,,,,,neither,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS"
160,,,,,neither,What the ...
161,,,,,neither,"Non-Muslim Michigan High School students wear hijabs in school for class lesson to `` explore religion and identity '' | Pamela Geller , Atlas Shrugs"
162,,,,,neither,I have n't been able to finish watching even one of these videos .
163,,,,,hate_speech,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .
164,,,,,neither,That would be too expensive .
165,,,,,neither,Thanks.
166,,,,,neither,I hope this will catch on like the 14 words .
167,,,,,neither,If anyone wants to post it in other forums feel free to do so .
168,,,,,neither,"It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned ."
169,,,,,neither,This is because much of the disenfranchisement is by way of destroying White cultural identity and pride .
170,,,,,neither,So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .
171,,,,,neither,Pffffft!
172,,,,,neither,"Ive seen that crap too , and thought WTF ?"
173,,,,,hate_speech,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever
174,,,,,neither,The only thing holding us back are our traitors and the 40billion anti-european people of the earth that flourished on our technology .
175,,,,,neither,"Thanks for saving the picture but the one I saw was a black guy looking at a laptop and a White girl sitting next to him , laughing and hanging on him also looking at the laptop but they did n't show what was on the laptop ."
176,,,,,neither,They were in a living room sitting on the couch implying that they were a couple .
177,,,,,neither,Its really sad how so many whites just don`t even care and there actually happy that this is coming to be .
178,,,,,neither,There's more sex and sleaze condensed on the shelves of the check out line than you 'll get in 2 hours of TV - and 2 hours of TV is lethal to your spirit !
179,,,,,neither,"And her husband is Tom Brady , this good-looking White Nordic guy : Here 's a photo of them with their ( white ) children :"
180,,,,,neither,I actually celebrate Black History Month .
181,,,,,hate_speech,I have a dream - one of these days Black occupation of America will be history !
182,,,,,hate_speech,"Pathological killers , they are ."
183,,,,,hate_speech,Jews have been poisoning wells since Biblical times .
184,,,,,hate_speech,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .
185,,,,,hate_speech,The Jew represents the snake .
186,,,,,hate_speech,All you need is to cut off it 's head and the rest of the problems will crumble away with ease
187,,,,,hate_speech,"I hate to see such beautiful white females become victims of these sick , violent merciless animals ."
188,,,,,hate_speech,Separation is the only answer !
189,,,,,neither,White Power !
190,,,,,neither,White Americans and White Europeons have too few children .
191,,,,,neither,Other than the Amish no other group of whites have large families .
192,,,,,neither,Honestly the better idea is private schools for our people ; the average parent is a poor teacher .
193,,,,,neither,The muslims have ultra strict racialist private schools the world over ; why do n't whites ?
194,,,,,hate_speech,While they are in prison the kikes should get the same food the regular prison population gets ...
195,,,,,hate_speech,Who the hell cares if its not kosher ...
196,,,,,neither,This is n't the local 4 diamond Hilton situated on some sunny beach ...
197,,,,,hate_speech,"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !"
198,,,,,neither,We dont care about Alaska while it is not white land .
199,,,,,hate_speech,We are more concerned about ZOG controlling US and Russia .
200,,,,,hate_speech,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?"
201,,,,,neither,"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !"
202,,,,,neither,"Kris Roman , Jan Kristel , Dr. Alfred Vierling , Dr. David Duke , Thiery Van Roy , Frederik Ranson , Andreas Thierry , Stephanos Gekas ."
203,,,,,neither,Robert Steuckers and Dr. David Duke Gunther Van Den Eynde en Dr. David Duke Euro-Rus 2008 !
204,,,,,neither,"Euro-Rus Евро-Русь For a great Europe , from Gibraltar to Vladivostok !"
205,,,,,neither,http://www.eurorus.org/
206,,,,,neither,What would you have done instead ?
207,,,,,neither,"Ignore the genocide on Serbs , turn your back on your own people ."
208,,,,,neither,Then you are a traitor .
209,,,,,neither,"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp ."
210,,,,,neither,"Woodlands , 1890 Rain in an Oak Forest , 1891"
211,,,,,neither,"Finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar : dark hair , dark eyes , short height , round face ."
212,,,,,neither,The reasons : Alcoholism takes around 150000 lives every year .
213,,,,,neither,Aids - around 20000 every year .
214,,,,,neither,Emmigration - around 50000-100000 per year .
215,,,,,neither,Heart diseases - around 100000 per year .
216,,,,,neither,High mortality rate - like country is at war .
217,,,,,neither,Lowest birthrate in world .
218,,,,,neither,"http://www.guardian.co.uk/russia/art...772175,00.html Attaboy , Putin ."
219,,,,,neither,"If I were in the audience , I 'd clap till my hands were numb ."
220,,,,,neither,That 's telling worthless s.o.b.s like Cheney what they can do with their cheap words and crocodile tears .
221,,,,,neither,I have long loved Tchaikovsky ballets and Mussorgsky operas and now I enjoy Russian traditional music as well .
222,,,,,neither,"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others ."
223,,,,,neither,"I was recently in Zaporojie , Ukraine , which has a famous Cossack enclave , where I had the opportunity to dine at a Cossack restaurant and listen to traditional Cossack music played live ."
224,,,,,neither,Listening to this music brings back memories of all my visits to Russia and Ukraine .
225,,,,,neither,Oh so we cannot post on this subject because at this moment in time we are not in the same AREA as you .... WHATEVER So I will wait maybe untill next spring when I go to LODZ And JP should wait untill he starts school this winter in Bratislava THEN can we post ?? ......... PLEASE SIR
226,,,,,neither,"I keep telling people about things like this , and they never believe me ."
227,,,,,neither,I want to show them this thread .
228,,,,,neither,This is great !
229,,,,,neither,It was until Kveldulf saw fit to open it up again with his unnecessary comments .
230,,,,,neither,I have to go to work now .
231,,,,,neither,Hispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .
232,,,,,neither,"Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim 's car with bottles of liquor ."
233,,,,,neither,http://www.news4jax.com/news/25976955/detail.html
234,,,,,hate_speech,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !
235,,,,,neither,LOL
236,,,,,neither,"You can have your site on Odins Rage but host your picture and zip files somewhere else like geocities.com , cause Odins Rage doesnt give much room ."
237,,,,,neither,"Don't want to ruin the spirit of the mood , but are n't Russians for the most part Orthodox Christian , and they have a different day for Christmas ?"
238,,,,,neither,"I think it is January 6'th or 7'th , not the same as us ."
239,,,,,hate_speech,Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .
240,,,,,hate_speech,"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers ."
241,,,,,neither,"http://www.newnation.vg/forums/showthread.php?p=325910 Coach Accused Of Fondling Student Student 's Mother Alerts Deputies After Finding Note POSTED : Monday , March 8 , 2010 UPDATED : 9 : 42 am EST March 9 , 2010 * * * Pedophile Alert * * * Robert Bennett. http://www.clickorlando.com/educatio...82/detail.html"
242,,,,,neither,Just got turned on to a website from a friend of mine .
243,,,,,hate_speech,Shows some interesting statistics about the jew rats ...
244,,,,,neither,http://ifamericaknew.org/
245,,,,,neither,It's sort of like the Black computer genius that only appears with any ubiquity on television or in the cinema .
246,,,,,neither,"I know they 're probably out there , but I 've never met a Black IT professional who was n't exclusively in sales ."
247,,,,,neither,Have you ever heard about death mask of Franco ?
248,,,,,neither,"One day I have seen it on EBay , but I 'm not sure about authenticity of the mask ."
249,,,,,neither,Is this group in Sweden genuine or are they thieves who steal money but never send the goods you order ?
250,,,,,neither,Can any Swedish comrades tell me about them ?
251,,,,,neither,"She is white but looks somewhat below average for a white Swedish girl , I think ."
252,,,,,neither,Why do the Swedes hide their best looking females ?
253,,,,,neither,I must just say before this thread possibly dies that I have great fear that without action the cause will die along with the rise of multiculturatism
254,,,,,neither,Glædelig jul !
255,,,,,neither,"My Norwegian uncle has been visiting , and he has shared with us some things about Christmas celebrated in Norway ..."
256,,,,,neither,Interesting .
257,,,,,neither,"I also have been talking to a person from Denmark , and I learned about gingerbread , dancing around the tree , and the various customs of Jul ( Dinner , place presents under the tree , desert , dance around tree , open presents ) ."
258,,,,,neither,"I found it to be pretty interesting , and I hope you all had a Gædelig jul !"
259,,,,,neither,Ca n't wait until tomorrow !
260,,,,,neither,I had actualy written th epost for last summer but had to cancel my trip ... so it is 2005 !!! ok every body cool ? * L * Shann 2508
261,,,,,neither,"LOL, ok I give up I just had never heard that specific word before and it was n't in my dictionary ."
262,,,,,neither,And since I 'm not really Sture Allén or Horace Engdahl I ca n't say if it 's in Svenska Akademins Ordlista .
263,,,,,neither,i think some of you are a bit wrong on this one since Our Race Is Our Nation when will you learn ?
264,,,,,neither,It makes me so damn angry that the swedes ca n't see it !!!
265,,,,,hate_speech,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex
266,,,,,hate_speech,"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood ."
267,,,,,neither,"Det er forresten en ting til Órkneyjar vil si deg , `` Tack så mycket . ''"
268,,,,,neither,What say you of Jotunheim ?
269,,,,,neither,Do you have any figures on this ?
270,,,,,neither,I 'm pretty sure that tens of billions are sent abroad every year even though 50 + % stays in Sweden .
271,,,,,neither,"Hmm... let 's try again , viewing by number of asylum seekers per 1,000 population ."
272,,,,,neither,These are much more important in my estimation .
273,,,,,neither,"For instance , the U.S. lets in about 900,000 people legally every year , while Canada lets in about 225,000 ."
274,,,,,neither,"However , in per-capita rates , U.S. legal immigration is at about 3 per 1,000 annually , while for Canada it 's about 7 ."
275,,,,,neither,"Thus , shockingly , Canada may actually achieve a non-white majority before the U.S. does ."
276,,,,,hate_speech,"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !"
277,,,,,neither,Let 's see it get down to zero !
278,,,,,neither,"Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 ."
279,,,,,neither,"Finland , however , used to be very low , but it 's now higher than Denmark and nearly as high as Norway ."
280,,,,,neither,"By per capita take-ins , Norway was the worst in 2001 , but apparently the Norwegians cracked down in 2004 and they 're now lower than Sweden 's rate ."
281,,,,,neither,Aragorn
282,,,,,neither,That is good news When i was in Norge ..
283,,,,,neither,The only Blacks i saw were Somalies .. and they 're a cross mix of Black and Arabs .
284,,,,,neither,"No, it 's not possible ."
285,,,,,neither,Read the earlier posts and see that there are still lots of non-whites coming to Denmark .
286,,,,,neither,I do n't dare to look at them !
287,,,,,neither,You should see what my grandma 's hair looked like 50 years ago ...
288,,,,,neither,"Eldritch and myself went early to the harbour , but all the boats were cancelled on account of rough weather ."
289,,,,,neither,"One day , brother ... one day ."
290,,,,,neither,I've seen on the web he is making a new horror film called `` it waits '' but cant find that much about it
291,,,,,neither,I thought they agreed they wouldn t do the Salem march this year because his parents didn t want the media attention ?
292,,,,,neither,Jag har inte själv varit med någon gång men jag har stor respekt för de som deltar .
293,,,,,neither,"Why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ..."
294,,,,,neither,"Damn, Finland is closing in on Sweden in this poll !"
295,,,,,neither,But you are most welcome anyway Ugric _ Warspirit .
296,,,,,neither,Suomalainen totta kai !
297,,,,,hate_speech,i get what your saying and there are thousands of non irish here who will never contribute anything to this land .
298,,,,,neither,The folk im talking about have been shoulder to shoulder with me for a long time and i will continue to show loyalty and respect to them as they have more than earned it 828
299,,,,,hate_speech,"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs"
300,,,,,hate_speech,What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .
301,,,,,hate_speech,I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong
302,,,,,neither,Reminds me of an old joke .
303,,,,,neither,"Whats the difference between St. Patrcks Day , and Martin Luther King Day ? ........................... On St. Patricks day every body wishes they are Irish ."
304,,,,,neither,Im sorry that many people in my country are stupid .
305,,,,,neither,They feel the need to close down a prison full of terroris / people who aided in the killing of our soldiers and scatter them all around the world. ??????????????????
306,,,,,neither,and the Poles decide to up and leave therefore devastating the Irish economy as every man and his dog are telling us what are the potential ramifications for our welfare scrounging visitors from far ashore ?
307,,,,,neither,"No I was asking for a link for were it says their banning the celtic cross , but thanks for the link i 'll check it out ."
308,,,,,neither,Cheers
